student_id,archetype,timestamp,question_id,topic,difficulty,bloom_level,is_correct,error_code
46,Lucky Guesser,2026-05-01T10:00:00,Q067,LIMIT,0.88,Creating,True,
46,Lucky Guesser,2026-05-01T11:00:00,Q042,APPLICATIONS,0.52,Applying,False,sign_error
46,Lucky Guesser,2026-05-01T12:00:00,Q011,LIMIT,0.16,Understanding,False,fraction_operation_error
46,Lucky Guesser,2026-05-01T13:00:00,Q090,LIMIT,0.52,Creating,True,
46,Lucky Guesser,2026-05-01T14:00:00,Q003,LIMIT,0.47,Understanding,False,derivative_instead_of_integral
46,Lucky Guesser,2026-05-02T10:00:00,Q055,APPLICATIONS,0.5,Evaluating,False,sign_error
46,Lucky Guesser,2026-05-02T11:00:00,Q041,LIMIT,0.62,Evaluating,False,conceptual_misunderstanding
46,Lucky Guesser,2026-05-02T12:00:00,Q043,INTEGRAL,0.54,Creating,False,forgot_chain_rule_inner
46,Lucky Guesser,2026-05-02T13:00:00,Q087,APPLICATIONS,0.31,Evaluating,True,
46,Lucky Guesser,2026-05-02T14:00:00,Q036,APPLICATIONS,0.65,Creating,False,conceptual_misunderstanding
46,Lucky Guesser,2026-05-03T10:00:00,Q035,APPLICATIONS,0.43,Understanding,False,sign_error
46,Lucky Guesser,2026-05-03T11:00:00,Q088,LIMIT,0.69,Creating,False,wrong_integration_formula
46,Lucky Guesser,2026-05-03T12:00:00,Q028,DIFFERENTIAL,0.21,Creating,False,arithmetic_error
46,Lucky Guesser,2026-05-03T13:00:00,Q092,LIMIT,0.42,Remembering,False,wrong_integration_formula
46,Lucky Guesser,2026-05-03T14:00:00,Q034,INTEGRAL,0.62,Applying,False,trig_sign_error
46,Lucky Guesser,2026-05-04T10:00:00,Q081,DIFFERENTIAL,0.33,Analyzing,False,exponent_rule_error
46,Lucky Guesser,2026-05-04T11:00:00,Q007,APPLICATIONS,0.1,Remembering,False,forgot_plus_c
46,Lucky Guesser,2026-05-04T12:00:00,Q073,DIFFERENTIAL,0.56,Evaluating,False,arithmetic_error
46,Lucky Guesser,2026-05-04T13:00:00,Q002,APPLICATIONS,1.0,Evaluating,False,derivative_instead_of_integral
46,Lucky Guesser,2026-05-04T14:00:00,Q013,INTEGRAL,0.7,Applying,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T10:00:00,Q093,INTEGRAL,0.68,Creating,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T11:00:00,Q052,INTEGRAL,0.75,Creating,False,fraction_operation_error
46,Lucky Guesser,2026-05-05T12:00:00,Q074,DIFFERENTIAL,0.88,Applying,True,
46,Lucky Guesser,2026-05-05T13:00:00,Q057,LIMIT,0.8,Applying,False,forgot_plus_c
46,Lucky Guesser,2026-05-05T14:00:00,Q045,DIFFERENTIAL,0.15,Evaluating,False,trig_sign_error
46,Lucky Guesser,2026-05-06T10:00:00,Q040,LIMIT,0.18,Evaluating,False,conceptual_misunderstanding
46,Lucky Guesser,2026-05-06T11:00:00,Q015,APPLICATIONS,0.42,Applying,False,arithmetic_error
46,Lucky Guesser,2026-05-06T12:00:00,Q062,APPLICATIONS,0.26,Analyzing,False,forgot_plus_c
46,Lucky Guesser,2026-05-06T13:00:00,Q100,DIFFERENTIAL,0.56,Evaluating,True,
46,Lucky Guesser,2026-05-06T14:00:00,Q096,DIFFERENTIAL,0.11,Evaluating,True,
45,Careless (High Slip),2026-05-01T10:00:00,Q010,APPLICATIONS,0.59,Remembering,True,
45,Careless (High Slip),2026-05-01T11:00:00,Q046,DIFFERENTIAL,0.23,Evaluating,True,
45,Careless (High Slip),2026-05-01T12:00:00,Q059,DIFFERENTIAL,0.7,Creating,True,
45,Careless (High Slip),2026-05-01T13:00:00,Q099,APPLICATIONS,0.95,Remembering,True,
45,Careless (High Slip),2026-05-01T14:00:00,Q015,APPLICATIONS,0.42,Applying,True,
45,Careless (High Slip),2026-05-02T10:00:00,Q082,APPLICATIONS,0.65,Understanding,True,
45,Careless (High Slip),2026-05-02T11:00:00,Q079,DIFFERENTIAL,0.91,Evaluating,True,
45,Careless (High Slip),2026-05-02T12:00:00,Q018,APPLICATIONS,0.48,Evaluating,True,
45,Careless (High Slip),2026-05-02T13:00:00,Q100,DIFFERENTIAL,0.56,Evaluating,False,sign_error
45,Careless (High Slip),2026-05-02T14:00:00,Q092,LIMIT,0.42,Remembering,False,sign_error
45,Careless (High Slip),2026-05-03T10:00:00,Q008,APPLICATIONS,0.66,Evaluating,False,fraction_operation_error
45,Careless (High Slip),2026-05-03T11:00:00,Q003,LIMIT,0.47,Understanding,True,
45,Careless (High Slip),2026-05-03T12:00:00,Q029,LIMIT,0.82,Applying,True,
45,Careless (High Slip),2026-05-03T13:00:00,Q040,LIMIT,0.18,Evaluating,True,
45,Careless (High Slip),2026-05-03T14:00:00,Q064,LIMIT,0.75,Analyzing,True,
45,Careless (High Slip),2026-05-04T10:00:00,Q021,DIFFERENTIAL,0.47,Creating,True,
45,Careless (High Slip),2026-05-04T11:00:00,Q088,LIMIT,0.69,Creating,True,
45,Careless (High Slip),2026-05-04T12:00:00,Q054,INTEGRAL,0.28,Analyzing,False,fraction_operation_error
45,Careless (High Slip),2026-05-04T13:00:00,Q090,LIMIT,0.52,Creating,True,
45,Careless (High Slip),2026-05-04T14:00:00,Q011,LIMIT,0.16,Understanding,True,
45,Careless (High Slip),2026-05-05T10:00:00,Q009,INTEGRAL,0.24,Remembering,True,
45,Careless (High Slip),2026-05-05T11:00:00,Q067,LIMIT,0.88,Creating,True,
45,Careless (High Slip),2026-05-05T12:00:00,Q031,APPLICATIONS,0.64,Remembering,True,
45,Careless (High Slip),2026-05-05T13:00:00,Q038,INTEGRAL,0.95,Creating,False,fraction_operation_error
45,Careless (High Slip),2026-05-05T14:00:00,Q083,LIMIT,0.96,Applying,True,
45,Careless (High Slip),2026-05-06T10:00:00,Q016,LIMIT,0.24,Remembering,False,sign_error
45,Careless (High Slip),2026-05-06T11:00:00,Q081,DIFFERENTIAL,0.33,Analyzing,True,
45,Careless (High Slip),2026-05-06T12:00:00,Q039,LIMIT,0.91,Applying,True,
45,Careless (High Slip),2026-05-06T13:00:00,Q048,DIFFERENTIAL,0.39,Evaluating,True,
45,Careless (High Slip),2026-05-06T14:00:00,Q097,DIFFERENTIAL,0.21,Evaluating,False,sign_error
44,High Achiever,2026-05-01T10:00:00,Q079,DIFFERENTIAL,0.91,Evaluating,True,
44,High Achiever,2026-05-01T11:00:00,Q004,LIMIT,0.34,Remembering,True,
44,High Achiever,2026-05-01T12:00:00,Q087,APPLICATIONS,0.31,Evaluating,True,
44,High Achiever,2026-05-01T13:00:00,Q057,LIMIT,0.8,Applying,True,
44,High Achiever,2026-05-01T14:00:00,Q006,LIMIT,0.54,Analyzing,True,
44,High Achiever,2026-05-02T10:00:00,Q085,APPLICATIONS,0.28,Applying,True,
44,High Achiever,2026-05-02T11:00:00,Q011,LIMIT,0.16,Understanding,True,
44,High Achiever,2026-05-02T12:00:00,Q045,DIFFERENTIAL,0.15,Evaluating,True,
44,High Achiever,2026-05-02T13:00:00,Q030,LIMIT,0.68,Applying,True,
44,High Achiever,2026-05-02T14:00:00,Q047,APPLICATIONS,0.28,Applying,True,
44,High Achiever,2026-05-03T10:00:00,Q024,APPLICATIONS,0.42,Understanding,True,
44,High Achiever,2026-05-03T11:00:00,Q089,INTEGRAL,0.32,Applying,True,
44,High Achiever,2026-05-03T12:00:00,Q097,DIFFERENTIAL,0.21,Evaluating,True,
44,High Achiever,2026-05-03T13:00:00,Q012,DIFFERENTIAL,0.5,Evaluating,True,
44,High Achiever,2026-05-03T14:00:00,Q065,APPLICATIONS,0.46,Applying,True,
44,High Achiever,2026-05-04T10:00:00,Q034,INTEGRAL,0.62,Applying,True,
44,High Achiever,2026-05-04T11:00:00,Q041,LIMIT,0.62,Evaluating,True,
44,High Achiever,2026-05-04T12:00:00,Q014,INTEGRAL,0.52,Applying,True,
44,High Achiever,2026-05-04T13:00:00,Q020,DIFFERENTIAL,0.97,Analyzing,True,
44,High Achiever,2026-05-04T14:00:00,Q078,DIFFERENTIAL,0.93,Applying,True,
44,High Achiever,2026-05-05T10:00:00,Q039,LIMIT,0.91,Applying,True,
44,High Achiever,2026-05-05T11:00:00,Q099,APPLICATIONS,0.95,Remembering,True,
44,High Achiever,2026-05-05T12:00:00,Q022,DIFFERENTIAL,0.72,Evaluating,True,
44,High Achiever,2026-05-05T13:00:00,Q009,INTEGRAL,0.24,Remembering,True,
44,High Achiever,2026-05-05T14:00:00,Q084,APPLICATIONS,0.31,Evaluating,True,
44,High Achiever,2026-05-06T10:00:00,Q053,LIMIT,0.1,Remembering,True,
44,High Achiever,2026-05-06T11:00:00,Q071,LIMIT,0.64,Remembering,True,
44,High Achiever,2026-05-06T12:00:00,Q074,DIFFERENTIAL,0.88,Applying,True,
44,High Achiever,2026-05-06T13:00:00,Q082,APPLICATIONS,0.65,Understanding,True,
44,High Achiever,2026-05-06T14:00:00,Q088,LIMIT,0.69,Creating,True,
43,Developing (Average),2026-05-01T10:00:00,Q059,DIFFERENTIAL,0.7,Creating,True,
43,Developing (Average),2026-05-01T11:00:00,Q082,APPLICATIONS,0.65,Understanding,False,conceptual_misunderstanding
43,Developing (Average),2026-05-01T12:00:00,Q064,LIMIT,0.75,Analyzing,False,conceptual_misunderstanding
43,Developing (Average),2026-05-01T13:00:00,Q017,LIMIT,0.98,Remembering,True,
43,Developing (Average),2026-05-01T14:00:00,Q038,INTEGRAL,0.95,Creating,True,
43,Developing (Average),2026-05-02T10:00:00,Q084,APPLICATIONS,0.31,Evaluating,False,derivative_instead_of_integral
43,Developing (Average),2026-05-02T11:00:00,Q092,LIMIT,0.42,Remembering,True,
43,Developing (Average),2026-05-02T12:00:00,Q072,INTEGRAL,0.18,Applying,False,wrong_integration_formula
43,Developing (Average),2026-05-02T13:00:00,Q070,APPLICATIONS,0.55,Creating,False,derivative_instead_of_integral
43,Developing (Average),2026-05-02T14:00:00,Q068,LIMIT,0.36,Creating,False,derivative_instead_of_integral
43,Developing (Average),2026-05-03T10:00:00,Q010,APPLICATIONS,0.59,Remembering,False,forgot_chain_rule_inner
43,Developing (Average),2026-05-03T11:00:00,Q008,APPLICATIONS,0.66,Evaluating,True,
43,Developing (Average),2026-05-03T12:00:00,Q016,LIMIT,0.24,Remembering,False,conceptual_misunderstanding
43,Developing (Average),2026-05-03T13:00:00,Q046,DIFFERENTIAL,0.23,Evaluating,False,wrong_integration_formula
43,Developing (Average),2026-05-03T14:00:00,Q040,LIMIT,0.18,Evaluating,False,forgot_chain_rule_inner
43,Developing (Average),2026-05-04T10:00:00,Q036,APPLICATIONS,0.65,Creating,False,sign_error
43,Developing (Average),2026-05-04T11:00:00,Q045,DIFFERENTIAL,0.15,Evaluating,False,fraction_operation_error
43,Developing (Average),2026-05-04T12:00:00,Q024,APPLICATIONS,0.42,Understanding,True,
43,Developing (Average),2026-05-04T13:00:00,Q091,DIFFERENTIAL,0.56,Creating,True,
43,Developing (Average),2026-05-04T14:00:00,Q095,DIFFERENTIAL,0.6,Applying,True,
43,Developing (Average),2026-05-05T10:00:00,Q056,APPLICATIONS,0.36,Applying,True,
43,Developing (Average),2026-05-05T11:00:00,Q048,DIFFERENTIAL,0.39,Evaluating,True,
43,Developing (Average),2026-05-05T12:00:00,Q005,INTEGRAL,0.62,Analyzing,False,fraction_operation_error
43,Developing (Average),2026-05-05T13:00:00,Q041,LIMIT,0.62,Evaluating,True,
43,Developing (Average),2026-05-05T14:00:00,Q042,APPLICATIONS,0.52,Applying,True,
43,Developing (Average),2026-05-06T10:00:00,Q083,LIMIT,0.96,Applying,False,fraction_operation_error
43,Developing (Average),2026-05-06T11:00:00,Q031,APPLICATIONS,0.64,Remembering,True,
43,Developing (Average),2026-05-06T12:00:00,Q078,DIFFERENTIAL,0.93,Applying,True,
43,Developing (Average),2026-05-06T13:00:00,Q009,INTEGRAL,0.24,Remembering,False,fraction_operation_error
43,Developing (Average),2026-05-06T14:00:00,Q097,DIFFERENTIAL,0.21,Evaluating,True,
42,Struggling,2026-05-01T10:00:00,Q004,LIMIT,0.34,Remembering,False,forgot_chain_rule_inner
42,Struggling,2026-05-01T11:00:00,Q095,DIFFERENTIAL,0.6,Applying,False,conceptual_misunderstanding
42,Struggling,2026-05-01T12:00:00,Q094,DIFFERENTIAL,0.64,Understanding,False,forgot_chain_rule_inner
42,Struggling,2026-05-01T13:00:00,Q048,DIFFERENTIAL,0.39,Evaluating,False,conceptual_misunderstanding
42,Struggling,2026-05-01T14:00:00,Q029,LIMIT,0.82,Applying,False,wrong_integration_formula
42,Struggling,2026-05-02T10:00:00,Q008,APPLICATIONS,0.66,Evaluating,False,forgot_chain_rule_inner
42,Struggling,2026-05-02T11:00:00,Q020,DIFFERENTIAL,0.97,Analyzing,False,conceptual_misunderstanding
42,Struggling,2026-05-02T12:00:00,Q063,LIMIT,0.85,Analyzing,False,derivative_instead_of_integral
42,Struggling,2026-05-02T13:00:00,Q016,LIMIT,0.24,Remembering,False,wrong_integration_formula
42,Struggling,2026-05-02T14:00:00,Q007,APPLICATIONS,0.1,Remembering,False,derivative_instead_of_integral
42,Struggling,2026-05-03T10:00:00,Q085,APPLICATIONS,0.28,Applying,False,derivative_instead_of_integral
42,Struggling,2026-05-03T11:00:00,Q037,INTEGRAL,0.44,Analyzing,False,wrong_integration_formula
42,Struggling,2026-05-03T12:00:00,Q059,DIFFERENTIAL,0.7,Creating,False,derivative_instead_of_integral
42,Struggling,2026-05-03T13:00:00,Q030,LIMIT,0.68,Applying,False,conceptual_misunderstanding
42,Struggling,2026-05-03T14:00:00,Q036,APPLICATIONS,0.65,Creating,False,conceptual_misunderstanding
42,Struggling,2026-05-04T10:00:00,Q035,APPLICATIONS,0.43,Understanding,False,forgot_chain_rule_inner
42,Struggling,2026-05-04T11:00:00,Q051,APPLICATIONS,0.42,Creating,False,derivative_instead_of_integral
42,Struggling,2026-05-04T12:00:00,Q032,INTEGRAL,0.31,Analyzing,False,forgot_chain_rule_inner
42,Struggling,2026-05-04T13:00:00,Q091,DIFFERENTIAL,0.56,Creating,False,wrong_integration_formula
42,Struggling,2026-05-04T14:00:00,Q067,LIMIT,0.88,Creating,False,conceptual_misunderstanding
42,Struggling,2026-05-05T10:00:00,Q041,LIMIT,0.62,Evaluating,False,forgot_chain_rule_inner
42,Struggling,2026-05-05T11:00:00,Q086,INTEGRAL,0.66,Remembering,False,forgot_chain_rule_inner
42,Struggling,2026-05-05T12:00:00,Q025,DIFFERENTIAL,0.15,Remembering,False,forgot_chain_rule_inner
42,Struggling,2026-05-05T13:00:00,Q064,LIMIT,0.75,Analyzing,False,wrong_integration_formula
42,Struggling,2026-05-05T14:00:00,Q034,INTEGRAL,0.62,Applying,False,wrong_integration_formula
42,Struggling,2026-05-06T10:00:00,Q071,LIMIT,0.64,Remembering,True,
42,Struggling,2026-05-06T11:00:00,Q049,LIMIT,0.79,Remembering,False,conceptual_misunderstanding
42,Struggling,2026-05-06T12:00:00,Q005,INTEGRAL,0.62,Analyzing,False,derivative_instead_of_integral
42,Struggling,2026-05-06T13:00:00,Q050,DIFFERENTIAL,0.36,Evaluating,False,forgot_chain_rule_inner
42,Struggling,2026-05-06T14:00:00,Q090,LIMIT,0.52,Creating,False,conceptual_misunderstanding
